包	B_at_1
装	I_at_1
很	B_ot_1_f_PP
精	I_ot_1_f_PP
美	I_ot_1_f_PP
，	O
图	B_at_9
案	I_at_9
也	O
漂	B_ot_9_f_PP
亮	I_ot_9_f_PP
，	O
很	B_ot_4_m_PP
喜	I_ot_4_m_PP
欢	I_ot_4_m_PP
！	O
拒	O
绝	O
不	O
了	O
卡	O
哇	O
伊	O
的	O
东	O
西	O
?	O

用	O
了	O
&	O
次	O
，	O
感	O
觉	O
也	O
就	O
那	O
么	O
回	O
事	O
。	O
洗	O
完	O
脸	O
感	O
觉	O
滑	B_ot_8_m_PN
滑	I_ot_8_m_PN
的	I_ot_8_m_PN
，	O
给	O
我	O
的	O
感	O
觉	O
像	O
没	B_ot_8_m_PN
洗	I_ot_8_m_PN
干	I_ot_8_m_PN
净	I_ot_8_m_PN
。	O
在	O
用	O
试	O
试	O
吧	O

效	B_at_7
果	I_at_7
还	B_ot_7_f_PU
不	I_ot_7_f_PU
知	I_ot_7_f_PU
道	I_ot_7_f_PU
，	O
收	O
到	O
就	O
用	O
了	O
，	O
补	B_at_7
水	I_at_7
可	B_ot_7_f_PP
以	I_ot_7_f_PP
就	O
是	O
味	B_at_10
道	I_at_10
太	B_ot_10_f_PN
香	I_ot_10_f_PN
了	I_ot_10_f_PN
，	O

礼	B_at_0
品	I_at_0
很	B_ot_0_f_PP
好	I_ot_0_f_PP
哦	O

很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
的	O
面	O
膜	O
，	O
敷	O
完	O
脸	O
很	B_ot_8_m_PP
舒	I_ot_8_m_PP
服	I_ot_8_m_PP
很	B_ot_8_m_PP
水	I_ot_8_m_PP
润	I_ot_8_m_PP

女	O
友	O
一	O
直	O
在	O
用	O
的	O
，	O
可	B_ot_4_m_PP
以	I_ot_4_m_PP

一	B_ot_4_m_PP
如	I_ot_4_m_PP
既	I_ot_4_m_PP
往	I_ot_4_m_PP
的	I_ot_4_m_PP
好	I_ot_4_m_PP

用	O
了	O
两	O
贴	O
，	O
没	O
觉	O
出	O
什	O
么	O
来	O
。	O
主	O
要	O
是	O
便	B_ot_0_m_PP
宜	I_ot_0_m_PP
。	O

面	O
膜	O
用	O
还	B_ot_4_m_PP
挺	I_ot_4_m_PP
好	I_ot_4_m_PP
的	I_ot_4_m_PP
自	O
己	O
补	B_at_7
水	I_at_7
效	I_at_7
果	I_at_7
很	B_ot_7_f_PP
好	I_ot_7_f_PP
?	O
快	B_at_11
递	I_at_11
小	I_at_11
哥	I_at_11
